Record_ID,State,Area_Type,Population,Health_Facilities,Doctors_per_1000,Nurses_per_1000,Insurance_Coverage_pct,Immunization_Coverage_pct,Skilled_Birth_Attendance_pct,Out_of_Pocket_Expenditure_pct,Improved_Water_Access_pct,Electricity_Availability_pct,Avg_Travel_Time_to_Facility_min,UHC_Readiness_Index,Readiness_Category
64,Kaduna,Rural,3535385,998,0.1,5.19,20.7,89.6,37.8,81.6,74.7,32.2,112.3,39.0,Low
65,Niger,Rural,4309212,557,3.43,3.3,47.8,62.6,93.6,53.0,90.7,88.3,36.8,86.0,High
66,Yobe,Rural,3869707,669,2.88,3.75,26.8,74.6,98.9,51.8,40.3,62.5,44.7,75.1,High
67,Lagos,Rural,1325951,1024,3.05,11.78,21.8,62.6,89.1,46.7,52.0,57.4,110.0,81.2,High
68,Delta,Rural,1344875,163,3.38,1.95,82.1,59.6,36.9,74.9,36.9,91.9,6.8,75.7,High
69,Katsina,Rural,4588371,83,1.67,11.65,30.1,80.9,74.8,75.4,88.8,87.9,48.7,78.2,High
70,Benue,Rural,1445568,623,2.18,3.2,58.8,57.0,45.7,25.9,97.5,80.1,85.9,69.2,Moderate
71,Ebonyi,Urban,712434,793,3.17,1.03,68.1,57.3,55.9,29.5,66.7,64.7,96.1,71.7,Moderate
72,Kaduna,Urban,669598,914,2.19,3.27,77.8,48.4,61.8,36.5,47.6,20.7,97.5,63.3,Moderate
73,Benue,Urban,3249115,1181,3.31,11.86,26.8,96.8,77.6,49.7,50.8,99.0,103.1,89.6,High
74,Anambra,Rural,2450770,481,1.29,3.9,60.0,41.3,87.3,45.7,30.6,88.3,94.5,60.7,Moderate
75,Akwa Ibom,Rural,3747892,78,2.14,4.55,54.8,76.6,76.8,66.9,75.5,86.2,77.2,72.1,Moderate
76,Sokoto,Rural,1430298,536,2.05,8.92,9.5,57.4,81.6,31.4,39.1,62.6,116.7,66.1,Moderate
77,FCT,Rural,4725077,759,3.2,11.36,82.3,57.4,90.1,72.3,62.3,25.9,91.7,87.4,High
78,Kwara,Urban,2011440,975,0.36,5.04,24.0,47.3,55.4,68.7,48.1,50.1,78.4,42.6,Low
79,Niger,Urban,1222534,102,0.14,10.67,48.6,94.0,45.3,24.1,86.8,91.8,39.8,71.5,Moderate
80,Taraba,Rural,4976967,326,3.31,4.0,42.9,45.7,91.2,28.8,61.3,73.0,90.5,78.3,High
81,Gombe,Rural,883446,762,3.1,8.03,71.2,76.3,94.8,38.2,77.6,37.2,56.1,91.4,High
82,Adamawa,Urban,2847677,508,1.93,11.75,31.8,63.5,43.1,27.9,88.5,55.9,81.2,74.2,Moderate
83,Abia,Rural,1263730,276,3.46,9.55,19.0,89.0,68.2,58.1,86.1,38.4,94.1,81.4,High
84,Imo,Urban,1113327,872,1.91,9.68,11.1,91.1,39.1,43.3,84.4,66.5,6.8,74.7,Moderate
85,Sokoto,Rural,3892339,73,1.86,9.08,41.5,85.9,65.4,27.1,64.8,94.7,10.0,83.8,High
86,Bauchi,Urban,2357001,1133,0.26,6.01,35.3,80.5,63.8,79.1,35.1,26.4,75.0,46.4,Low
87,Yobe,Urban,3657688,934,2.51,4.88,51.6,57.4,64.9,48.0,84.7,29.0,80.3,69.2,Moderate
88,Oyo,Urban,815248,184,3.11,5.26,70.7,63.5,80.3,40.3,51.6,40.1,114.7,76.9,High
89,Kogi,Rural,481560,599,0.37,1.61,63.3,87.9,68.4,58.1,68.7,46.0,19.1,57.1,Moderate
90,Jigawa,Urban,3649655,1158,2.12,4.54,50.0,52.6,75.3,34.6,37.5,86.8,47.3,71.3,Moderate
91,Kano,Rural,2994597,22,3.41,9.91,52.9,77.9,31.8,80.4,87.2,41.1,25.7,82.9,High
92,Osun,Rural,1370444,767,0.68,2.15,56.6,44.1,81.1,83.2,36.3,61.9,48.3,49.8,Low
93,Ondo,Rural,4124025,915,1.13,4.23,80.1,75.2,91.0,30.1,82.1,23.9,14.4,74.5,Moderate
94,FCT,Rural,509544,25,1.48,2.98,44.5,60.4,37.7,64.1,70.9,61.6,40.5,56.0,Moderate
95,Taraba,Urban,4246504,1154,0.76,11.37,65.7,85.1,50.0,27.8,64.3,54.0,19.9,76.1,High
96,Zamfara,Rural,3553870,602,2.93,9.77,8.0,90.8,32.9,21.2,93.6,88.1,71.2,81.2,High
97,Gombe,Rural,4989810,830,0.45,0.74,29.0,87.3,72.7,74.1,93.5,27.0,102.1,44.0,Low
98,Kogi,Rural,1288912,493,1.86,5.05,27.8,60.0,53.0,30.9,65.2,29.0,63.6,61.0,Moderate
99,Zamfara,Rural,4785300,671,0.4,3.44,16.4,49.0,82.4,24.9,95.6,69.6,58.4,55.3,Moderate
100,Kano,Rural,3840928,87,3.03,7.71,14.5,44.0,60.5,39.7,49.0,24.4,63.3,68.8,Moderate
101,Akwa Ibom,Rural,4845403,395,0.25,10.06,8.4,91.0,89.0,60.0,65.0,56.6,68.7,60.8,Moderate
102,Edo,Urban,2128224,906,1.16,5.97,14.5,43.7,37.1,78.4,53.7,76.4,63.0,48.0,Low
103,Kebbi,Urban,2815646,203,3.47,6.53,52.6,61.5,93.3,45.2,83.4,73.6,11.0,93.1,High
104,Kogi,Rural,3337981,274,1.97,4.95,22.9,90.2,96.5,59.2,40.4,26.4,81.3,64.4,Moderate
105,Sokoto,Urban,3601790,1051,2.1,11.29,27.7,62.2,84.6,72.9,76.2,85.5,90.0,75.8,High
106,Benue,Urban,2874984,278,1.3,4.67,17.0,52.6,95.4,51.6,45.6,30.9,13.9,60.2,Moderate
107,Gombe,Rural,2440148,929,2.11,2.27,17.0,80.9,73.1,78.7,79.8,23.5,46.9,58.9,Moderate
108,Kaduna,Rural,4268687,1090,0.86,3.25,82.1,86.3,92.4,32.6,76.8,65.1,55.7,72.1,Moderate
109,Sokoto,Urban,2441281,181,1.49,2.36,18.6,75.7,90.2,23.4,63.2,49.3,112.4,58.6,Moderate
110,Adamawa,Rural,496751,821,2.68,3.64,77.1,48.7,60.2,81.5,45.3,55.6,45.2,68.6,Moderate
111,Cross River,Urban,2456518,977,1.78,3.21,84.5,62.1,31.9,80.5,87.9,71.3,96.0,60.0,Moderate
112,Sokoto,Rural,982702,600,2.45,2.1,60.6,66.5,30.4,25.1,47.7,86.0,68.1,66.7,Moderate
113,Rivers,Urban,1254409,606,0.87,1.9,21.8,77.7,73.0,24.1,87.7,59.5,66.6,57.4,Moderate
114,Rivers,Urban,3325363,972,1.53,7.57,22.0,64.6,75.8,25.6,97.3,25.3,65.5,68.1,Moderate
115,Kebbi,Urban,421914,731,0.2,4.95,33.0,84.1,54.6,24.4,46.6,71.9,16.9,58.1,Moderate
116,Osun,Urban,2511574,422,1.93,9.86,16.5,86.0,62.1,65.2,73.6,84.1,12.3,76.5,High
117,Ekiti,Rural,3044516,107,0.2,2.79,5.5,95.1,65.6,84.3,67.5,40.0,91.6,40.0,Low
118,Plateau,Rural,3131529,1073,3.04,4.32,12.3,61.7,91.4,68.3,91.7,50.5,117.0,67.9,Moderate
119,Kaduna,Rural,3790612,882,0.97,1.45,37.2,65.4,98.7,31.7,50.3,28.1,42.7,58.0,Moderate
120,Anambra,Urban,3457538,754,0.62,5.6,39.1,82.9,92.9,60.0,60.0,70.5,96.0,59.8,Moderate
121,Kwara,Rural,3261615,1171,1.82,9.12,15.3,41.8,88.6,64.1,60.2,30.0,32.1,66.7,Moderate
122,Jigawa,Urban,1001675,63,0.16,2.26,39.3,61.9,60.6,25.0,39.5,49.0,41.2,48.7,Low
123,Plateau,Urban,1078757,287,2.59,6.24,34.1,73.1,48.1,36.9,60.8,98.7,37.8,76.5,High
124,Bauchi,Rural,2566218,332,2.99,5.7,76.6,66.3,36.1,64.3,88.3,45.2,45.0,76.9,High
125,Adamawa,Rural,4697468,1182,2.51,11.16,54.9,86.8,65.1,27.9,43.9,31.0,95.9,80.9,High
126,Niger,Urban,1101317,659,1.32,9.74,47.8,76.1,35.9,40.1,99.0,76.8,65.5,71.4,Moderate
127,Ogun,Urban,1091538,1071,2.27,5.67,58.4,60.3,90.6,70.7,74.1,34.4,116.1,68.1,Moderate
128,Yobe,Rural,1100004,630,0.58,2.39,28.8,81.9,53.9,81.2,91.7,86.8,33.8,52.8,Low
129,Zamfara,Urban,288014,176,2.17,1.57,55.2,74.9,70.1,31.1,73.1,91.3,43.8,73.5,Moderate
130,Kaduna,Rural,4101234,511,0.21,7.88,49.9,78.4,82.9,47.1,74.1,59.3,77.1,62.9,Moderate
131,Katsina,Rural,2947178,826,2.83,8.38,26.7,44.3,34.1,48.6,63.4,36.1,74.8,66.2,Moderate
132,Lagos,Rural,2132642,337,0.5,4.76,48.6,58.8,62.2,37.4,47.1,27.6,38.4,54.2,Low
133,Bayelsa,Rural,4289975,946,2.86,11.24,61.9,51.2,41.0,84.7,62.2,89.4,62.2,78.9,High
134,Benue,Rural,1173527,551,3.39,2.97,31.3,43.0,64.1,77.4,75.1,57.2,66.7,67.2,Moderate
135,Yobe,Rural,1046659,273,2.56,9.28,32.4,63.6,69.3,32.7,68.2,25.8,63.0,76.3,High
136,Akwa Ibom,Urban,1199544,692,3.41,5.03,68.0,60.0,94.8,69.1,43.7,60.2,62.5,81.9,High
137,Kano,Rural,4305666,1053,2.82,6.47,14.4,92.7,39.6,80.5,52.0,51.0,75.9,64.2,Moderate
138,Adamawa,Rural,2277430,1194,1.89,8.65,26.9,88.1,55.4,63.8,97.6,66.1,96.6,69.2,Moderate
139,Akwa Ibom,Urban,1650414,48,2.04,8.8,50.4,50.1,73.4,60.3,88.0,31.7,83.3,70.7,Moderate
140,Cross River,Urban,4755059,675,1.57,5.32,36.3,52.0,64.6,59.7,62.5,87.0,88.7,60.3,Moderate
141,Imo,Rural,1662828,514,3.49,6.0,33.3,96.4,61.7,54.7,67.7,73.4,104.8,79.1,High
142,Yobe,Rural,2464152,259,1.01,3.93,80.1,98.0,83.2,65.8,77.6,58.6,60.2,69.3,Moderate
143,Bayelsa,Rural,3760919,535,2.03,6.75,76.3,63.3,53.8,70.2,40.1,23.3,114.9,62.0,Moderate
144,Anambra,Urban,2003174,117,2.63,2.96,70.7,56.0,68.8,37.7,37.5,78.5,32.5,75.5,High
145,Oyo,Rural,1723157,598,0.4,4.3,41.2,80.2,39.5,82.7,97.5,32.5,80.1,46.4,Low
146,Edo,Rural,1524622,84,1.16,7.93,77.4,45.3,69.6,54.8,79.9,94.0,110.0,68.3,Moderate
147,Benue,Rural,2437076,940,3.49,5.07,43.1,95.3,96.4,80.2,90.5,20.7,70.3,81.8,High
148,Osun,Rural,1611951,38,3.46,6.75,43.0,95.4,88.7,50.4,43.3,28.9,23.7,87.0,High
149,Bayelsa,Rural,850148,388,2.59,9.59,49.1,84.7,42.1,75.6,91.9,85.3,64.3,79.2,High
150,Zamfara,Urban,2244066,746,3.44,5.99,79.7,40.4,56.5,49.0,48.4,46.0,72.0,78.1,High
151,Borno,Rural,3133181,462,2.44,1.21,11.8,58.1,58.0,52.7,91.8,75.6,40.8,62.5,Moderate
152,Enugu,Urban,736777,1086,0.81,2.04,14.7,84.1,71.8,47.0,67.9,57.2,66.8,52.2,Low
153,Katsina,Rural,1025091,430,1.59,8.59,8.5,73.3,34.3,55.6,64.9,65.2,22.2,63.1,Moderate
154,Kano,Urban,3371458,531,2.52,6.12,76.6,66.3,33.8,28.6,58.7,64.5,69.3,75.0,High
155,Oyo,Urban,2458291,847,2.87,9.08,50.0,42.7,53.8,24.1,98.6,93.8,12.9,88.7,High
156,Lagos,Rural,723185,1114,0.67,2.06,55.2,83.0,96.5,44.3,91.5,55.4,110.5,59.7,Moderate
157,Kano,Rural,4617138,878,0.51,10.39,11.8,98.6,57.1,28.3,97.5,86.0,92.0,66.4,Moderate
158,Niger,Urban,2068855,432,1.89,9.97,22.5,60.4,49.0,80.9,80.0,28.9,98.1,60.1,Moderate
159,Anambra,Urban,4276984,602,0.28,7.33,39.1,79.6,90.2,35.9,33.1,54.7,67.1,60.7,Moderate
160,Sokoto,Urban,3519194,625,0.86,11.04,49.8,74.1,83.3,73.2,46.3,89.2,118.4,66.3,Moderate
161,Lagos,Rural,3542384,846,1.0,6.9,51.1,83.4,42.1,64.1,68.4,23.7,44.6,59.3,Moderate
162,Yobe,Rural,3543921,1151,0.56,4.83,64.6,67.9,88.6,39.5,78.8,83.7,110.2,63.4,Moderate
163,Anambra,Rural,3213914,90,1.88,4.97,23.2,59.5,35.5,49.2,55.6,62.3,100.4,54.4,Low
164,Abia,Urban,1644034,250,3.06,2.66,65.2,82.7,68.6,51.2,90.0,46.3,115.1,74.2,Moderate
165,Osun,Rural,2637233,545,2.63,9.17,77.9,81.0,78.6,45.8,46.5,45.4,37.6,87.4,High
166,Akwa Ibom,Urban,1274088,43,1.29,10.65,40.7,87.4,79.8,69.5,52.1,36.0,41.0,71.3,Moderate
167,Kebbi,Rural,4148850,1014,0.95,11.25,50.1,64.6,40.5,41.4,56.2,85.8,62.4,68.1,Moderate
168,Sokoto,Urban,673528,109,1.64,8.93,31.2,48.3,67.7,32.0,91.4,98.2,115.1,70.0,Moderate
169,Oyo,Rural,181967,23,2.69,5.24,71.9,53.7,78.8,20.6,64.9,49.5,76.1,79.5,High
170,Edo,Urban,857939,1083,1.89,5.23,3.4,82.6,67.0,38.6,64.7,75.1,54.5,65.8,Moderate
171,FCT,Rural,726263,74,0.56,2.71,45.7,88.1,48.4,45.8,55.7,52.1,70.0,51.5,Low
172,Zamfara,Urban,4480520,97,0.37,4.86,47.9,43.3,30.7,31.1,64.5,54.3,95.2,46.4,Low
173,Akwa Ibom,Urban,2688088,42,0.84,10.86,59.5,73.4,48.7,80.1,77.2,42.1,67.4,63.8,Moderate
174,Lagos,Rural,3269935,296,3.37,7.25,64.4,82.0,57.5,25.0,41.2,39.0,101.0,81.6,High
175,Nasarawa,Rural,298518,569,2.78,8.43,8.5,84.0,53.9,26.3,46.0,26.0,74.6,71.2,Moderate
176,Kaduna,Urban,666618,178,2.75,5.68,20.9,72.6,55.9,32.1,70.4,50.0,93.8,69.2,Moderate
177,Jigawa,Urban,1161549,188,0.97,4.87,67.1,49.1,56.9,43.4,36.3,94.5,56.1,61.2,Moderate
178,Lagos,Urban,2498193,857,0.7,5.66,48.0,64.1,31.8,43.0,36.4,67.2,42.3,54.3,Low
179,Kano,Rural,4186623,308,1.39,1.47,76.8,93.4,97.5,57.2,41.7,50.1,21.0,70.2,Moderate
180,Ekiti,Rural,947349,287,0.27,5.5,37.0,68.6,35.3,36.4,47.0,69.4,73.3,49.5,Low
181,Cross River,Rural,2739934,421,1.1,11.41,29.6,76.6,85.5,41.4,53.1,84.4,103.8,71.1,Moderate
182,Jigawa,Rural,3111972,243,1.7,2.54,35.1,58.8,80.7,61.1,96.8,81.8,42.5,65.8,Moderate
183,Kaduna,Urban,3482128,1032,3.27,2.8,84.8,50.6,83.0,21.7,80.2,94.5,29.1,90.6,High
184,Taraba,Rural,4610426,85,0.53,3.98,23.0,49.1,59.2,44.5,61.0,67.2,72.0,48.5,Low
185,Akwa Ibom,Rural,2831634,891,2.78,4.63,76.3,71.7,74.0,25.5,83.1,72.0,45.8,86.1,High
186,Rivers,Urban,2943796,60,0.42,1.63,20.4,84.1,68.5,64.7,45.3,49.6,58.3,45.2,Low
187,Sokoto,Rural,2971754,985,1.72,3.9,78.4,45.1,87.4,67.5,54.0,47.1,95.2,63.4,Moderate
188,Ebonyi,Urban,4378470,367,0.39,8.8,39.6,44.0,33.1,66.2,31.6,47.1,17.6,50.6,Low
189,Ekiti,Rural,3653350,806,1.95,4.31,37.4,67.3,85.0,60.9,42.9,71.9,50.5,66.9,Moderate
190,Ekiti,Rural,1005923,547,0.07,2.97,25.1,81.5,84.9,57.5,85.2,62.4,47.1,53.3,Low
191,Edo,Rural,760951,284,2.36,6.13,82.2,58.5,56.8,45.5,37.9,47.8,57.7,73.4,Moderate
192,Plateau,Urban,4704944,351,1.13,3.24,11.7,62.0,39.8,45.3,71.2,65.4,53.6,50.7,Low
193,Yobe,Rural,3482067,1017,1.74,2.11,28.1,66.6,33.7,43.3,30.7,30.8,98.7,46.7,Low
194,Ebonyi,Rural,4795019,1024,1.48,10.16,42.6,44.9,32.1,69.5,50.2,41.7,66.8,58.4,Moderate
195,Taraba,Urban,3616456,219,1.95,1.8,11.5,85.7,86.8,43.8,86.8,23.3,87.7,60.2,Moderate
196,Borno,Urban,1810585,728,2.59,8.02,22.5,91.6,32.2,37.1,89.5,26.9,104.5,68.6,Moderate
197,Taraba,Urban,2765003,609,3.02,7.52,37.5,76.4,84.2,72.9,85.6,65.0,66.2,81.2,High
198,Jigawa,Urban,1163091,521,1.05,3.57,73.2,98.1,76.9,26.2,96.4,82.1,110.7,70.9,Moderate
199,Bauchi,Urban,3429357,1065,0.55,4.2,22.5,89.8,57.1,29.2,73.6,69.6,48.1,58.0,Moderate
200,Osun,Rural,581256,1104,2.64,8.49,74.8,66.8,63.7,57.8,90.0,86.9,15.7,88.9,High
201,Kebbi,Urban,435397,213,1.42,11.63,70.5,69.2,52.3,38.4,67.8,30.3,103.0,71.7,Moderate
202,Cross River,Rural,1383599,571,2.21,10.12,3.4,94.8,40.9,49.7,98.4,53.8,119.5,67.9,Moderate
203,Ogun,Urban,848458,12,0.37,4.65,8.8,79.2,74.8,23.4,73.2,77.4,91.9,54.6,Low
204,Cross River,Rural,644150,478,0.79,1.4,51.3,70.6,60.7,20.5,53.7,29.5,103.9,50.4,Low
205,Delta,Urban,4500225,1163,1.37,8.9,10.5,58.5,90.8,28.9,83.4,79.5,20.3,75.0,High
206,Bayelsa,Urban,1224515,262,0.08,7.98,38.5,82.6,73.3,29.8,58.4,74.2,103.9,59.2,Moderate
207,Kaduna,Urban,2580418,430,2.08,4.92,81.9,58.6,39.6,38.0,35.8,63.7,74.0,67.4,Moderate
208,Plateau,Urban,4481588,34,1.84,6.36,64.1,57.4,33.8,78.4,95.9,59.1,18.0,67.9,Moderate
209,Bauchi,Urban,4977162,148,3.45,11.24,13.0,90.8,69.2,43.8,77.1,80.3,114.8,85.9,High
210,Nasarawa,Urban,4551031,1111,0.1,2.98,78.6,96.0,57.5,38.6,79.2,80.6,53.7,61.8,Moderate
211,Bauchi,Rural,3719898,498,2.18,3.69,27.7,70.2,44.0,72.5,67.0,50.9,77.9,57.1,Moderate
212,Cross River,Urban,1424327,1026,0.25,1.49,38.1,66.7,72.0,40.1,81.2,78.5,18.7,55.8,Moderate
213,Adamawa,Rural,3651435,567,3.34,6.51,67.0,82.5,41.5,28.3,83.9,41.2,106.9,80.8,High
214,Ebonyi,Rural,913228,1185,1.86,3.52,82.9,77.0,64.2,53.2,33.8,87.9,24.2,73.4,Moderate
215,Edo,Urban,4687765,868,2.38,1.83,63.5,40.2,89.2,20.8,33.2,48.8,110.8,65.4,Moderate
216,FCT,Urban,3413201,151,0.82,3.36,78.0,58.9,87.0,57.1,38.2,73.2,11.1,65.6,Moderate
217,Gombe,Rural,3139303,1020,3.08,10.46,66.2,58.3,36.0,49.7,55.5,43.0,95.2,77.5,High
218,Abia,Rural,62264,780,3.49,9.42,62.8,72.2,84.9,29.8,94.3,21.9,67.3,93.5,High
219,Bayelsa,Urban,1991732,1074,2.98,8.86,10.6,71.3,46.4,52.0,34.1,98.8,86.8,71.9,Moderate
220,Anambra,Rural,1146460,494,1.48,10.8,40.1,84.1,70.1,52.9,74.0,51.2,73.1,73.3,Moderate
221,Cross River,Urban,1353678,226,1.06,10.29,78.9,63.2,87.4,41.2,61.2,38.5,113.5,71.8,Moderate
222,Ebonyi,Rural,388310,450,0.62,5.86,35.7,71.6,96.6,33.5,51.3,40.9,18.8,65.0,Moderate
